danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.559,0.31,10,-10.445,1,0.0338,0.881,0,0.106,0.46,119.845,190898,4,1
0.73,0.729,4,-3.434,0,0.0886,0.167,1.39E-06,0.349,0.467,113.012,221820,4,1
0.716,0.823,5,-5.313,0,0.0495,0.132,0,0.361,0.91,151.957,161747,4,1
0.604,0.673,1,-5.979,1,0.0545,0.0268,3.32E-05,0.187,0.287,144.971,197573,4,1
0.879,0.662,2,-6.162,1,0.309,0.033,0,0.716,0.724,117.975,189909,4,1
0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550,3,1
0.577,0.741,6,-3.83,0,0.0501,0.298,0,0.142,0.581,128.081,230613,4,1
0.776,0.482,1,-11.268,1,0.0356,0.481,0.0457,0.11,0.128,136.015,247893,4,1
0.568,0.545,1,-6.668,0,0.0447,0.168,0,0.112,0.234,174.144,176650,4,1
0.653,0.452,4,-11.143,0,0.055,0.838,7.73E-05,0.108,0.45,83.433,252881,4,1
0.829,0.527,6,-6.644,0,0.367,0.482,0,0.631,0.475,116.079,200310,4,1
0.676,0.815,8,-4.294,1,0.0625,0.00146,0.00041,0.275,0.796,117.973,193531,4,1
0.744,0.868,1,-4.524,1,0.047,0.0326,0,0.0822,0.586,93.037,206420,4,1
0.534,0.905,9,-3.315,1,0.0369,0.129,0,0.128,0.961,202.899,220160,4,1
0.658,0.535,9,-8.983,0,0.0573,0.0265,0,0.2,0.419,110.684,227360,4,1
0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4,1
0.707,0.622,0,-6.951,1,0.031,0.0397,0,0.149,0.223,142.942,243357,4,1
0.515,0.378,5,-8.264,1,0.065,0.618,0,0.172,0.536,91.883,201000,4,1
0.736,0.491,10,-6.892,0,0.439,0.0681,0,0.571,0.203,141.979,218674,4,1
0.654,0.452,7,-6.36,1,0.0439,0.17,0,0.114,0.532,138.034,186749,4,1
0.676,0.777,1,-3.241,0,0.357,0.145,0,0.228,0.226,173.931,188773,4,1
0.748,0.705,4,-4.547,0,0.485,0.204,0,0.246,0.483,189.891,208733,4,1
0.69,0.622,5,-5.025,0,0.063,0.253,0,0.113,0.543,102.039,210400,4,1
0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,290320,4,1
0.552,0.702,9,-5.707,1,0.157,0.117,2.06E-05,0.105,0.564,169.994,178427,4,1
0.811,0.553,9,-6.644,1,0.0552,0.317,0,0.105,0.86,148.014,212869,4,1
0.734,0.543,1,-7.979,1,0.4,0.186,0,0.372,0.336,78.168,237295,4,1
0.689,0.217,9,-13.539,0,0.0387,0.847,0.000123,0.106,0.272,92.007,206027,4,1
