danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.53,0.75,10,-5.83,0,0.11,0.01,0,0.12,0.2,169.95,200080,4,1
0.65,0.84,0,-3.76,1,0.05,0.01,0,0.1,0.75,146.96,193829,4,1
0.85,0.7,9,-7.21,1,0.06,0.01,0,0.08,0.32,113.04,180645,4,1
0.7,0.23,6,-14.45,0,0.1,0.9,0.66,0.11,0.24,120.01,245426,4,1
0.79,0.67,11,-4.58,0,0.16,0.26,0,0.09,0.79,110.96,237893,4,1
0.68,0.61,2,-5.83,0,0.48,0.07,0,0.15,0.51,142.04,237735,4,1
0.72,0.76,2,-5.17,0,0.09,0.14,0,0.13,0.49,147.02,198261,4,1
0.85,0.54,1,-5.16,1,0.06,0.27,0,0.1,0.51,96.03,210607,4,1
0.81,0.75,10,-5.26,0,0.34,0.15,0,0.29,0.83,166,210800,4,1
0.73,0.43,8,-8.77,0,0.14,0.73,0,0.7,0.35,144.03,173333,4,1
0.79,0.43,10,-8.76,0,0.04,0.12,0,0.09,0.24,127.09,159382,4,1
0.86,0.63,7,-4.69,1,0.05,0.31,0,0.12,0.82,128.98,223480,4,1
0.8,0.72,2,-3.28,1,0.3,0.3,0,0.06,0.57,101.09,200960,4,1
0.62,0.6,6,-5.62,0,0.15,0.05,0,0.46,0.46,116.74,163636,5,1
0.69,0.85,8,-4.56,0,0.09,0.09,0,0.08,0.76,179.87,163084,4,1
0.68,0.51,9,-6.65,0,0.1,0.35,0,0.12,0.5,145.84,208520,4,1
0.81,0.55,9,-6.64,1,0.06,0.3,0,0.1,0.87,147.99,212867,4,1
0.56,0.62,0,-7.92,1,0.03,0.03,0,0.09,0.14,95.03,195813,4,1
0.68,0.77,8,-3.68,1,0.05,0.02,0,0.1,0.57,99.05,207133,4,1
0.77,0.72,8,-5.48,1,0.05,0.02,0.01,0.35,0.9,121.98,176840,4,1
0.79,0.79,11,-4.52,0,0.08,0.01,0,0.1,0.68,123.94,183290,4,1
0.7,0.43,7,-10.97,1,0.38,0.33,0.13,0.1,0.56,135.13,194088,4,1
0.5,0.41,1,-5.68,1,0.03,0.75,0,0.11,0.45,109.89,182161,4,1
0.9,0.6,2,-5.31,1,0.06,0.4,0,0.13,0.82,129.93,170972,4,1
0.61,0.83,2,-4.07,1,0.38,0.01,0,0.11,0.69,96.17,295177,4,1
0.88,0.53,5,-6.83,1,0.06,0.18,0,0.07,0.69,112.02,158571,4,1
0.83,0.59,6,-6.4,0,0.1,0.69,0,0.17,0.54,98.08,209755,4,1
0.77,0.55,0,-7.91,1,0.04,0.21,0,0.13,0.35,99.03,162547,4,1
